"Facility.Name","Facility.City","Facility.State","Facility.Type","Rating.Overall","Rating.Mortality","Rating.Safety","Rating.Readmission","Rating.Experience","Rating.Effectiveness","Rating.Timeliness","Rating.Imaging","Procedure.Heart Attack.Cost","Procedure.Heart Attack.Quality","Procedure.Heart Attack.Value","Procedure.Heart Failure.Cost","Procedure.Heart Failure.Quality","Procedure.Heart Failure.Value","Procedure.Pneumonia.Cost","Procedure.Pneumonia.Quality","Procedure.Pneumonia.Value","Procedure.Hip Knee.Cost","Procedure.Hip Knee.Quality","Procedure.Hip Knee.Value"
"St Luke's Cornwall Hospital","Newburgh","NY","Unknown","2","Same","Same","Below","Below","Above","Below","Same","23787","Average","Average","17564","Average","Average","18782","Average","Higher","21732","Worse","Average"
"Clifton Springs Hospital And Clinic","Clifton Springs","NY","Private","2","Same","None","Same","Same","Same","Same","None","0","Unknown","Unknown","13930","Average","Lower","14770","Average","Lower","0","Unknown","Unknown"
"New York-presbyterian/hudson Valley Hospital","Cortlandt Manor","NY","Private","3","Same","Above","Below","Above","Same","Below","Same","25173","Average","Average","18108","Average","Higher","18436","Average","Higher","22976","Average","Higher"
"Cobleskill Regional Hospital","Cobleskill","NY","Private","4","Same","None","Same","None","Same","Above","Same","0","Unknown","Unknown","16130","Average","Average","14182","Average","Lower","0","Unknown","Unknown"
"Hospital For Special Surgery","New York","NY","Private","5","None","Above","None","Above","Same","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","22090","Better","Average"
"Putnam Hospital Center","Carmel","NY","Private","2","Same","Below","Below","Above","Same","Above","Same","25019","Average","Average","18820","Average","Higher","17051","Average","Average","22761","Average","Higher"
"Nathan Littauer Hospital","Gloversville","NY","Private","4","Same","Same","Above","Below","Same","Same","None","0","Unknown","Unknown","15838","Average","Average","15182","Average","Lower","24965","Average","Higher"
"Corning Hospital","Corning","NY","Private","4","Same","Above","Same","Same","Same","Same","Same","23287","Average","Average","15034","Average","Lower","17012","Average","Average","20920","Average","Average"
"Mercy Hospital Of Buffalo","Buffalo","NY","Private","1","Below","Below","Above","Below","Same","Below","Above","23033","Average","Average","16657","Worse","Average","18987","Worse","Higher","21038","Average","Average"
"Strong Memorial Hospital","Rochester","NY","Private","2","Same","Below","Below","Same","Below","Below","Below","23020","Average","Average","15983","Average","Average","17197","Average","Average","0","Unknown","Unknown"
"Good Samaritan Hospital Medical Center","West Islip","NY","Church","1","Same","Below","Below","Below","Same","Below","Above","25150","Average","Average","18967","Average","Higher","17458","Average","Average","25359","Average","Higher"
"White Plains Hospital Center","White Plains","NY","Private","3","Same","Below","Below","Above","Same","Same","Same","26150","Average","Higher","20255","Average","Higher","19182","Average","Higher","24898","Average","Higher"
"Cayuga Medical Center At Ithaca","Ithaca","NY","Private","2","Below","Above","Same","Same","Same","Below","Above","22140","Average","Average","14275","Worse","Lower","15770","Average","Lower","21008","Average","Average"
"Plainview Hospital","Plainview","NY","Private","3","Above","Below","Above","Below","Same","Below","Above","26647","Average","Higher","18994","Better","Higher","18332","Average","Higher","24241","Average","Higher"
"St Joseph Hospital","Bethpage","NY","Private","1","Same","Below","Below","Below","Same","Below","Above","27141","Average","Higher","18868","Average","Higher","19093","Average","Higher","22937","Average","Average"
"University Hospital Of Brooklyn ( Downstate )","Brooklyn","NY","Government","1","Same","Below","Below","Below","Same","Below","Same","22874","Average","Average","16371","Average","Average","16996","Average","Average","0","Unknown","Unknown"
"North Central Bronx Hospital","Bronx","NY","Government","1","None","Same","Below","Below","Below","Below","None","0","Unknown","Unknown","0","Unknown","Unknown","16806","Average","Average","0","Unknown","Unknown"
"Catskill Regional Medical Center","Harris","NY","Private","2","Same","Below","Below","Below","Same","Below","Same","24770","Average","Average","17550","Average","Average","17802","Average","Average","0","Unknown","Unknown"
"Rockefeller University Hospital","New York","NY","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"University Hospital At Stony Brook","Stony Brook","NY","Government","3","Above","Same","Below","Below","Same","Below","Same","24213","Better","Average","17722","Better","Higher","17807","Better","Average","21880","Average","Average"
"United Health Services Hospitals, Inc","Binghamton","NY","Private","1","Below","Below","Above","Below","Same","Below","Same","20369","Average","Lower","13830","Worse","Lower","14749","Average","Lower","19686","Average","Lower"
"St John's Episcopal Hospital At South Shore","Far Rockaway","NY","Church","1","Below","Below","Below","Below","Same","Below","None","24851","Average","Average","16698","Average","Average","20438","Worse","Higher","0","Unknown","Unknown"
"Woodhull Medical And Mental Health Center","Brooklyn","NY","Government","1","Same","Same","Below","Below","Same","Below","None","0","Unknown","Unknown","14571","Average","Lower","15867","Average","Average","0","Unknown","Unknown"
"Interfaith Medical Center","Brooklyn","NY","Private","1","Same","Below","Below","Below","Same","Below","None","22907","Average","Average","17342","Average","Average","19631","Average","Average","0","Unknown","Unknown"
"St Barnabas Hospital","Bronx","NY","Private","1","Same","Below","Below","Below","Below","Below","None","0","Unknown","Unknown","15407","Average","Average","15866","Average","Average","0","Unknown","Unknown"
"St Catherine Of Siena Hospital","Smithtown","NY","Private","2","Same","Below","Below","Below","Same","Below","Above","25460","Average","Average","18201","Average","Higher","17882","Average","Average","25902","Average","Higher"
"Monroe Community Hospital","Rochester","NY","Unknown","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Helen Hayes Hospital","West Haverstraw","NY","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Sunnyview Hospital And Rehabilitation Center","Schenectady","NY","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Tri-town Regional Healthcare","Sidney","NY","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Burdett Care Center","Troy","NY","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Cuba Memorial Hospital, Inc","Cuba","NY","Private","-1","None","None","None","None","None","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Elizabethtown Community Hospital","Elizabethtown","NY","Private","2","Same","None","Below","None","Same","Same","Same","0","Unknown","Unknown","18073","Average","Average","17313","Average","Average","0","Unknown","Unknown"
"Catskill Regional Medical Center - G Hermann Site","Callicoon","NY","Government","-1","None","None","None","None","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Margaretville Memorial Hospital","Margaretville","NY","Private","-1","None","None","Same","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","18170","Average","Average","0","Unknown","Unknown"
"O'connor Hospital","Delhi","NY","Private","4","Same","None","Same","None","Same","Above","None","0","Unknown","Unknown","16878","Average","Average","16223","Average","Average","0","Unknown","Unknown"
"Clifton Fine Hospital","Star Lake","NY","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"River Hospital, Inc","Alexandria Bay","NY","Private","-1","None","None","None","None","Same","Below","Same","0","Unknown","Unknown","0","Unknown","Unknown","18360","Average","Average","0","Unknown","Unknown"
"Ellenville Regional Hospital","Ellenville","NY","Private","3","None","None","Same","None","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","18311","Average","Average","0","Unknown","Unknown"
"Little Falls Hospital","Little Falls","NY","Private","4","Same","None","Same","Above","Same","Same","None","0","Unknown","Unknown","15484","Average","Average","19008","Average","Average","0","Unknown","Unknown"
"Delaware Valley Hospital, Inc","Walton","NY","Private","4","Same","None","Same","None","Same","Above","None","0","Unknown","Unknown","15530","Average","Average","16818","Average","Average","0","Unknown","Unknown"
"Schuyler Hospital, Inc","Montour Falls","NY","Private","-1","None","None","Above","None","None","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","15211","Average","Lower","0","Unknown","Unknown"
"Soldiers And Sailors Memorial Hospital Of Yates","Penn Yan","NY","Unknown","3","Same","None","Same","Same","Same","Above","None","0","Unknown","Unknown","14566","Average","Average","16745","Average","Average","0","Unknown","Unknown"
"Gouverneur Hospital","Gouverneur","NY","Private","2","Same","None","Same","Same","None","None","None","0","Unknown","Unknown","15763","Average","Average","15907","Average","Average","0","Unknown","Unknown"
"Community Memorial Hospital, Inc","Hamilton","NY","Private","4","Same","None","Same","Above","Same","Same","Same","0","Unknown","Unknown","17792","Average","Average","18361","Average","Average","19000","Average","Lower"
"Lewis County General Hospital","Lowville","NY","Unknown","3","Same","None","Same","Above","Same","Same","None","0","Unknown","Unknown","15882","Average","Average","13713","Average","Lower","0","Unknown","Unknown"
"Carthage Area Hospital, Inc","Carthage","NY","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Medina Memorial Hospital","Medina","NY","Private","-1","Same","None","Same","None","None","None","None","23686","Average","Average","15108","Average","Average","17438","Average","Average","0","Unknown","Unknown"
"Blythedale Children's Hospital","Valhalla","NY","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Carolinas Healthcare System Northeast","Concord","NC","Government","2","Below","Below","Above","Same","Same","Below","Above","21365","Average","Lower","15995","Average","Average","18190","Average","Higher","22688","Average","Higher"
"Memorial Mission Hospital And Asheville Surgery Ce","Asheville","NC","Private","5","Same","Above","Above","Above","Same","Same","Above","22314","Better","Lower","16738","Average","Average","17591","Worse","Average","21380","Better","Lower"
"Northern Hospital Of Surry County","Mount Airy","NC","Government","4","Same","Above","Above","Same","Above","Same","Same","23323","Average","Average","16483","Average","Average","15890","Average","Lower","21086","Average","Average"
"High Point Regional Hospital","High Point","NC","Private","2","Same","Same","Below","Below","Same","Below","Above","22643","Average","Average","15553","Average","Lower","17947","Worse","Average","22685","Average","Average"
